"Time (CET/CEST),""BZN|PL > BZN|DE-AT-LU Day Ahead [MW]"",""BZN|PL > BZN|DE-AT-LU Total [MW]"",""BZN|DE-AT-LU > BZN|PL Day Ahead [MW]"",""BZN|DE-AT-LU > BZN|PL Total [MW]"""
"08.04.2018 10:00 - 08.04.2018 11:00,""0"",""0"",""370"",""370"""
"08.04.2018 11:00 - 08.04.2018 12:00,""0"",""0"",""350"",""350"""
"08.04.2018 12:00 - 08.04.2018 13:00,""0"",""0"",""343"",""543"""
"08.04.2018 13:00 - 08.04.2018 14:00,""0"",""0"",""330"",""530"""
"08.04.2018 14:00 - 08.04.2018 15:00,""0"",""0"",""309"",""509"""
"08.04.2018 15:00 - 08.04.2018 16:00,""0"",""0"",""309"",""409"""
"08.04.2018 16:00 - 08.04.2018 17:00,""0"",""0"",""310"",""410"""
"08.04.2018 17:00 - 08.04.2018 18:00,""0"",""0"",""355"",""455"""
"08.04.2018 18:00 - 08.04.2018 19:00,""0"",""0"",""222"",""322"""
"08.04.2018 19:00 - 08.04.2018 20:00,""400"",""400"",""15"",""115"""
"08.04.2018 20:00 - 08.04.2018 21:00,""353"",""478"",""210"",""310"""
"08.04.2018 21:00 - 08.04.2018 22:00,""428"",""528"",""175"",""275"""
"08.04.2018 22:00 - 08.04.2018 23:00,""328"",""428"",""200"",""200"""
"08.04.2018 23:00 - 09.04.2018 00:00,""370"",""440"",""25"",""25"""
"09.04.2018 00:00 - 09.04.2018 01:00,""60"",""287"",""0"",""0"""
"09.04.2018 01:00 - 09.04.2018 02:00,""0"",""436"",""0"",""0"""
"09.04.2018 02:00 - 09.04.2018 03:00,""0"",""488"",""0"",""0"""
"09.04.2018 03:00 - 09.04.2018 04:00,""0"",""160"",""0"",""0"""
"09.04.2018 04:00 - 09.04.2018 05:00,""0"",""50"",""0"",""10"""
"09.04.2018 05:00 - 09.04.2018 06:00,""0"",""0"",""65"",""65"""
"09.04.2018 06:00 - 09.04.2018 07:00,""187"",""744"",""0"",""200"""
"09.04.2018 07:00 - 09.04.2018 08:00,""0"",""300"",""0"",""50"""
"09.04.2018 08:00 - 09.04.2018 09:00,""0"",""200"",""0"",""150"""
"09.04.2018 09:00 - 09.04.2018 10:00,""0"",""0"",""246"",""296"""
"09.04.2018 10:00 - 09.04.2018 11:00,""0"",""0"",""225"",""425"""
"09.04.2018 11:00 - 09.04.2018 12:00,""0"",""0"",""250"",""450"""
"09.04.2018 12:00 - 09.04.2018 13:00,""0"",""100"",""240"",""440"""
"09.04.2018 13:00 - 09.04.2018 14:00,""0"",""150"",""310"",""510"""
"09.04.2018 14:00 - 09.04.2018 15:00,""0"",""50"",""195"",""395"""
"09.04.2018 15:00 - 09.04.2018 16:00,""0"",""150"",""220"",""420"""
"09.04.2018 16:00 - 09.04.2018 17:00,""0"",""0"",""220"",""414"""
"09.04.2018 17:00 - 09.04.2018 18:00,""0"",""0"",""220"",""320"""
"09.04.2018 18:00 - 09.04.2018 19:00,""0"",""0"",""290"",""390"""
"09.04.2018 19:00 - 09.04.2018 20:00,""0"",""0"",""375"",""475"""
"09.04.2018 20:00 - 09.04.2018 21:00,""0"",""0"",""400"",""597"""
"09.04.2018 21:00 - 09.04.2018 22:00,""0"",""0"",""385"",""583"""
"09.04.2018 22:00 - 09.04.2018 23:00,""0"",""0"",""385"",""435"""
"09.04.2018 23:00 - 10.04.2018 00:00,""0"",""0"",""350"",""550"""
"10.04.2018 00:00 - 10.04.2018 01:00,""0"",""0"",""405"",""405"""
"10.04.2018 01:00 - 10.04.2018 02:00,""0"",""0"",""211"",""211"""
"10.04.2018 02:00 - 10.04.2018 03:00,""0"",""0"",""87"",""87"""
"10.04.2018 03:00 - 10.04.2018 04:00,""0"",""0"",""133"",""133"""
"10.04.2018 04:00 - 10.04.2018 05:00,""0"",""0"",""238"",""438"""
"10.04.2018 05:00 - 10.04.2018 06:00,""0"",""0"",""365"",""565"""
"10.04.2018 06:00 - 10.04.2018 07:00,""0"",""0"",""250"",""450"""
"10.04.2018 07:00 - 10.04.2018 08:00,""0"",""0"",""310"",""460"""
"10.04.2018 08:00 - 10.04.2018 09:00,""0"",""0"",""275"",""475"""
"10.04.2018 09:00 - 10.04.2018 10:00,""0"",""0"",""275"",""475"""
"10.04.2018 10:00 - 10.04.2018 11:00,""0"",""0"",""285"",""485"""
"10.04.2018 11:00 - 10.04.2018 12:00,""0"",""0"",""285"",""385"""
"10.04.2018 12:00 - 10.04.2018 13:00,""0"",""0"",""355"",""555"""
"10.04.2018 13:00 - 10.04.2018 14:00,""0"",""0"",""335"",""535"""
"10.04.2018 14:00 - 10.04.2018 15:00,""0"",""0"",""303"",""503"""
"10.04.2018 15:00 - 10.04.2018 16:00,""0"",""0"",""405"",""605"""
"10.04.2018 16:00 - 10.04.2018 17:00,""0"",""0"",""415"",""615"""
"10.04.2018 17:00 - 10.04.2018 18:00,""0"",""0"",""380"",""580"""
"10.04.2018 18:00 - 10.04.2018 19:00,""0"",""0"",""395"",""595"""
"10.04.2018 19:00 - 10.04.2018 20:00,""0"",""0"",""345"",""545"""
"10.04.2018 20:00 - 10.04.2018 21:00,""0"",""0"",""375"",""575"""
"10.04.2018 21:00 - 10.04.2018 22:00,""0"",""0"",""390"",""590"""
"10.04.2018 22:00 - 10.04.2018 23:00,""0"",""0"",""370"",""570"""
"10.04.2018 23:00 - 11.04.2018 00:00,""0"",""0"",""287"",""487"""
"11.04.2018 00:00 - 11.04.2018 01:00,""0"",""0"",""26"",""126"""
"11.04.2018 01:00 - 11.04.2018 02:00,""0"",""0"",""0"",""100"""
"11.04.2018 02:00 - 11.04.2018 03:00,""0"",""0"",""0"",""100"""
"11.04.2018 03:00 - 11.04.2018 04:00,""0"",""0"",""0"",""100"""
"11.04.2018 04:00 - 11.04.2018 05:00,""0"",""0"",""0"",""0"""
"11.04.2018 05:00 - 11.04.2018 06:00,""0"",""0"",""56"",""156"""
"11.04.2018 06:00 - 11.04.2018 07:00,""0"",""150"",""230"",""430"""
"11.04.2018 07:00 - 11.04.2018 08:00,""0"",""50"",""365"",""465"""
"11.04.2018 08:00 - 11.04.2018 09:00,""0"",""75"",""415"",""415"""
"11.04.2018 09:00 - 11.04.2018 10:00,""0"",""0"",""412"",""412"""
"11.04.2018 10:00 - 11.04.2018 11:00,""0"",""0"",""365"",""365"""
"11.04.2018 11:00 - 11.04.2018 12:00,""0"",""0"",""450"",""450"""
"11.04.2018 12:00 - 11.04.2018 13:00,""0"",""0"",""400"",""500"""
"11.04.2018 13:00 - 11.04.2018 14:00,""0"",""0"",""390"",""490"""
"11.04.2018 14:00 - 11.04.2018 15:00,""0"",""0"",""340"",""440"""
"11.04.2018 15:00 - 11.04.2018 16:00,""0"",""0"",""330"",""430"""
"11.04.2018 16:00 - 11.04.2018 17:00,""0"",""0"",""330"",""330"""
"11.04.2018 17:00 - 11.04.2018 18:00,""0"",""0"",""375"",""375"""
"11.04.2018 18:00 - 11.04.2018 19:00,""0"",""0"",""380"",""380"""
"11.04.2018 19:00 - 11.04.2018 20:00,""0"",""0"",""390"",""390"""
"11.04.2018 20:00 - 11.04.2018 21:00,""0"",""0"",""375"",""375"""
"11.04.2018 21:00 - 11.04.2018 22:00,""0"",""0"",""375"",""375"""
"11.04.2018 22:00 - 11.04.2018 23:00,""0"",""0"",""380"",""380"""
"11.04.2018 23:00 - 12.04.2018 00:00,""0"",""0"",""291"",""291"""
"12.04.2018 00:00 - 12.04.2018 01:00,""0"",""0"",""0"",""0"""
"12.04.2018 01:00 - 12.04.2018 02:00,""0"",""0"",""0"",""0"""
"12.04.2018 02:00 - 12.04.2018 03:00,""0"",""0"",""0"",""0"""
"12.04.2018 03:00 - 12.04.2018 04:00,""0"",""0"",""0"",""0"""
"12.04.2018 04:00 - 12.04.2018 05:00,""0"",""0"",""0"",""0"""
"12.04.2018 05:00 - 12.04.2018 06:00,""0"",""0"",""0"",""0"""
"12.04.2018 06:00 - 12.04.2018 07:00,""0"",""0"",""110"",""110"""
"12.04.2018 07:00 - 12.04.2018 08:00,""0"",""0"",""230"",""230"""
"12.04.2018 08:00 - 12.04.2018 09:00,""0"",""0"",""211"",""211"""
"12.04.2018 09:00 - 12.04.2018 10:00,""0"",""0"",""220"",""220"""
"12.04.2018 10:00 - 12.04.2018 11:00,""0"",""0"",""250"",""250"""
"12.04.2018 11:00 - 12.04.2018 12:00,""0"",""0"",""220"",""220"""
"12.04.2018 12:00 - 12.04.2018 13:00,""0"",""0"",""175"",""175"""
"12.04.2018 13:00 - 12.04.2018 14:00,""0"",""0"",""210"",""210"""
"12.04.2018 14:00 - 12.04.2018 15:00,""0"",""0"",""202"",""202"""
"12.04.2018 15:00 - 12.04.2018 16:00,""0"",""0"",""260"",""260"""
"12.04.2018 16:00 - 12.04.2018 17:00,""0"",""0"",""305"",""305"""
"12.04.2018 17:00 - 12.04.2018 18:00,""0"",""0"",""355"",""355"""
"12.04.2018 18:00 - 12.04.2018 19:00,""0"",""175"",""340"",""340"""
"12.04.2018 19:00 - 12.04.2018 20:00,""0"",""0"",""381"",""381"""
"12.04.2018 20:00 - 12.04.2018 21:00,""0"",""305"",""340"",""340"""
"12.04.2018 21:00 - 12.04.2018 22:00,""0"",""62"",""255"",""255"""
"12.04.2018 22:00 - 12.04.2018 23:00,""0"",""180"",""155"",""155"""
"12.04.2018 23:00 - 13.04.2018 00:00,""0"",""0"",""0"",""0"""
"13.04.2018 00:00 - 13.04.2018 01:00,""0"",""0"",""0"",""0"""
"13.04.2018 01:00 - 13.04.2018 02:00,""0"",""0"",""0"",""0"""
"13.04.2018 02:00 - 13.04.2018 03:00,""0"",""0"",""0"",""0"""
"13.04.2018 03:00 - 13.04.2018 04:00,""0"",""0"",""0"",""0"""
"13.04.2018 04:00 - 13.04.2018 05:00,""0"",""0"",""0"",""0"""
"13.04.2018 05:00 - 13.04.2018 06:00,""0"",""0"",""0"",""0"""
"13.04.2018 06:00 - 13.04.2018 07:00,""260"",""322"",""0"",""0"""
"13.04.2018 07:00 - 13.04.2018 08:00,""194"",""365"",""0"",""0"""
"13.04.2018 08:00 - 13.04.2018 09:00,""75"",""775"",""339"",""339"""
"13.04.2018 09:00 - 13.04.2018 10:00,""0"",""600"",""370"",""370"""
"13.04.2018 10:00 - 13.04.2018 11:00,""0"",""200"",""380"",""480"""
"13.04.2018 11:00 - 13.04.2018 12:00,""0"",""120"",""365"",""465"""
"13.04.2018 12:00 - 13.04.2018 13:00,""0"",""0"",""415"",""615"""
"13.04.2018 13:00 - 13.04.2018 14:00,""0"",""0"",""410"",""610"""
"13.04.2018 14:00 - 13.04.2018 15:00,""0"",""0"",""445"",""645"""
"13.04.2018 15:00 - 13.04.2018 16:00,""0"",""0"",""430"",""630"""
"13.04.2018 16:00 - 13.04.2018 17:00,""0"",""0"",""425"",""526"""
"13.04.2018 17:00 - 13.04.2018 18:00,""0"",""0"",""335"",""336"""
"13.04.2018 18:00 - 13.04.2018 19:00,""150"",""250"",""275"",""376"""
"13.04.2018 19:00 - 13.04.2018 20:00,""0"",""52"",""280"",""381"""
"13.04.2018 20:00 - 13.04.2018 21:00,""0"",""0"",""378"",""380"""
"13.04.2018 21:00 - 13.04.2018 22:00,""0"",""0"",""260"",""263"""
"13.04.2018 22:00 - 13.04.2018 23:00,""226"",""406"",""330"",""481"""
"13.04.2018 23:00 - 14.04.2018 00:00,""0"",""100"",""344"",""346"""
"14.04.2018 00:00 - 14.04.2018 01:00,""0"",""200"",""128"",""328"""
"14.04.2018 01:00 - 14.04.2018 02:00,""0"",""237"",""35"",""235"""
"14.04.2018 02:00 - 14.04.2018 03:00,""0"",""250"",""7"",""207"""
"14.04.2018 03:00 - 14.04.2018 04:00,""0"",""250"",""20"",""220"""
"14.04.2018 04:00 - 14.04.2018 05:00,""0"",""0"",""65"",""65"""
"14.04.2018 05:00 - 14.04.2018 06:00,""0"",""0"",""92"",""92"""
"14.04.2018 06:00 - 14.04.2018 07:00,""0"",""0"",""141"",""141"""
"14.04.2018 07:00 - 14.04.2018 08:00,""0"",""0"",""297"",""297"""
"14.04.2018 08:00 - 14.04.2018 09:00,""0"",""0"",""425"",""425"""
"14.04.2018 09:00 - 14.04.2018 10:00,""0"",""0"",""435"",""435"""
"14.04.2018 10:00 - 14.04.2018 11:00,""0"",""0"",""440"",""440"""
"14.04.2018 11:00 - 14.04.2018 12:00,""0"",""0"",""385"",""385"""
"14.04.2018 12:00 - 14.04.2018 13:00,""0"",""0"",""440"",""640"""
"14.04.2018 13:00 - 14.04.2018 14:00,""0"",""0"",""400"",""600"""
"14.04.2018 14:00 - 14.04.2018 15:00,""0"",""0"",""380"",""480"""
"14.04.2018 15:00 - 14.04.2018 16:00,""0"",""0"",""410"",""610"""
"14.04.2018 16:00 - 14.04.2018 17:00,""0"",""0"",""405"",""405"""
"14.04.2018 17:00 - 14.04.2018 18:00,""0"",""0"",""335"",""335"""
"14.04.2018 18:00 - 14.04.2018 19:00,""17"",""166"",""255"",""255"""
"14.04.2018 19:00 - 14.04.2018 20:00,""37"",""334"",""205"",""205"""
"14.04.2018 20:00 - 14.04.2018 21:00,""0"",""198"",""450"",""648"""
"14.04.2018 21:00 - 14.04.2018 22:00,""8"",""206"",""91"",""289"""
"14.04.2018 22:00 - 14.04.2018 23:00,""0"",""198"",""0"",""198"""
"14.04.2018 23:00 - 15.04.2018 00:00,""85"",""332"",""0"",""297"""
"15.04.2018 00:00 - 15.04.2018 01:00,""0"",""0"",""230"",""230"""
"15.04.2018 01:00 - 15.04.2018 02:00,""0"",""0"",""45"",""45"""
"15.04.2018 02:00 - 15.04.2018 03:00,""0"",""0"",""20"",""20"""
"15.04.2018 03:00 - 15.04.2018 04:00,""0"",""0"",""6"",""6"""
"15.04.2018 04:00 - 15.04.2018 05:00,""0"",""0"",""30"",""230"""
"15.04.2018 05:00 - 15.04.2018 06:00,""0"",""0"",""5"",""205"""
"15.04.2018 06:00 - 15.04.2018 07:00,""0"",""0"",""110"",""260"""
"15.04.2018 07:00 - 15.04.2018 08:00,""0"",""0"",""374"",""574"""
"15.04.2018 08:00 - 15.04.2018 09:00,""0"",""0"",""325"",""405"""
"15.04.2018 09:00 - 15.04.2018 10:00,""0"",""0"",""245"",""246"""
"15.04.2018 10:00 - 15.04.2018 11:00,""0"",""0"",""250"",""350"""
"15.04.2018 11:00 - 15.04.2018 12:00,""0"",""0"",""250"",""350"""
"15.04.2018 12:00 - 15.04.2018 13:00,""0"",""0"",""230"",""330"""
"15.04.2018 13:00 - 15.04.2018 14:00,""0"",""0"",""285"",""385"""
"15.04.2018 14:00 - 15.04.2018 15:00,""0"",""0"",""280"",""380"""
"15.04.2018 15:00 - 15.04.2018 16:00,""0"",""0"",""260"",""360"""
"15.04.2018 16:00 - 15.04.2018 17:00,""0"",""0"",""260"",""360"""
"15.04.2018 17:00 - 15.04.2018 18:00,""0"",""0"",""245"",""345"""
"15.04.2018 18:00 - 15.04.2018 19:00,""100"",""150"",""260"",""261"""
"15.04.2018 19:00 - 15.04.2018 20:00,""200"",""299"",""185"",""186"""
"15.04.2018 20:00 - 15.04.2018 21:00,""183"",""233"",""0"",""0"""
"15.04.2018 21:00 - 15.04.2018 22:00,""223"",""273"",""0"",""0"""
"15.04.2018 22:00 - 15.04.2018 23:00,""200"",""250"",""0"",""0"""
"15.04.2018 23:00 - 16.04.2018 00:00,""0"",""0"",""165"",""165"""
"16.04.2018 00:00 - 16.04.2018 01:00,""0"",""12"",""0"",""0"""
"16.04.2018 01:00 - 16.04.2018 02:00,""0"",""56"",""0"",""0"""
"16.04.2018 02:00 - 16.04.2018 03:00,""0"",""25"",""0"",""0"""
"16.04.2018 03:00 - 16.04.2018 04:00,""0"",""0"",""0"",""0"""
"16.04.2018 04:00 - 16.04.2018 05:00,""0"",""0"",""0"",""0"""
"16.04.2018 05:00 - 16.04.2018 06:00,""0"",""0"",""56"",""56"""
"16.04.2018 06:00 - 16.04.2018 07:00,""220"",""220"",""0"",""0"""
"16.04.2018 07:00 - 16.04.2018 08:00,""0"",""0"",""100"",""100"""
"16.04.2018 08:00 - 16.04.2018 09:00,""0"",""0"",""120"",""120"""
"16.04.2018 09:00 - 16.04.2018 10:00,""0"",""0"",""175"",""175"""
"16.04.2018 10:00 - 16.04.2018 11:00,""0"",""0"",""225"",""225"""
"16.04.2018 11:00 - 16.04.2018 12:00,""0"",""0"",""185"",""185"""
"16.04.2018 12:00 - 16.04.2018 13:00,""0"",""0"",""155"",""155"""
"16.04.2018 13:00 - 16.04.2018 14:00,""0"",""0"",""150"",""150"""
"16.04.2018 14:00 - 16.04.2018 15:00,""0"",""0"",""160"",""183"""
"16.04.2018 15:00 - 16.04.2018 16:00,""0"",""0"",""130"",""180"""
"16.04.2018 16:00 - 16.04.2018 17:00,""0"",""0"",""200"",""276"""
"16.04.2018 17:00 - 16.04.2018 18:00,""0"",""0"",""290"",""390"""
"16.04.2018 18:00 - 16.04.2018 19:00,""0"",""0"",""105"",""205"""
"16.04.2018 19:00 - 16.04.2018 20:00,""0"",""100"",""100"",""200"""
"16.04.2018 20:00 - 16.04.2018 21:00,""0"",""0"",""129"",""129"""
"16.04.2018 21:00 - 16.04.2018 22:00,""0"",""4"",""45"",""45"""
"16.04.2018 22:00 - 16.04.2018 23:00,""400"",""405"",""57"",""57"""
"16.04.2018 23:00 - 17.04.2018 00:00,""60"",""110"",""120"",""120"""
"17.04.2018 00:00 - 17.04.2018 01:00,""200"",""300"",""109"",""109"""
"17.04.2018 01:00 - 17.04.2018 02:00,""200"",""275"",""95"",""95"""
"17.04.2018 02:00 - 17.04.2018 03:00,""0"",""75"",""10"",""10"""
"17.04.2018 03:00 - 17.04.2018 04:00,""0"",""0"",""53"",""53"""
"17.04.2018 04:00 - 17.04.2018 05:00,""0"",""70"",""126"",""126"""
"17.04.2018 05:00 - 17.04.2018 06:00,""0"",""0"",""225"",""225"""
"17.04.2018 06:00 - 17.04.2018 07:00,""290"",""340"",""0"",""0"""
"17.04.2018 07:00 - 17.04.2018 08:00,""0"",""50"",""0"",""0"""
"17.04.2018 08:00 - 17.04.2018 09:00,""0"",""95"",""224"",""224"""
"17.04.2018 09:00 - 17.04.2018 10:00,""0"",""20"",""290"",""290"""
"17.04.2018 10:00 - 17.04.2018 11:00,""0"",""70"",""280"",""330"""
"17.04.2018 11:00 - 17.04.2018 12:00,""0"",""50"",""280"",""480"""
"17.04.2018 12:00 - 17.04.2018 13:00,""0"",""0"",""330"",""530"""
"17.04.2018 13:00 - 17.04.2018 14:00,""0"",""0"",""280"",""480"""
"17.04.2018 14:00 - 17.04.2018 15:00,""0"",""0"",""310"",""510"""
"17.04.2018 15:00 - 17.04.2018 16:00,""0"",""0"",""355"",""555"""
"17.04.2018 16:00 - 17.04.2018 17:00,""0"",""0"",""345"",""445"""
"17.04.2018 17:00 - 17.04.2018 18:00,""0"",""0"",""410"",""441"""
"17.04.2018 18:00 - 17.04.2018 19:00,""0"",""0"",""30"",""30"""
"17.04.2018 19:00 - 17.04.2018 20:00,""0"",""0"",""0"",""200"""
"17.04.2018 20:00 - 17.04.2018 21:00,""0"",""0"",""325"",""325"""
"17.04.2018 21:00 - 17.04.2018 22:00,""0"",""0"",""55"",""55"""
"17.04.2018 22:00 - 17.04.2018 23:00,""290"",""290"",""0"",""0"""
"17.04.2018 23:00 - 18.04.2018 00:00,""70"",""70"",""28"",""28"""
"18.04.2018 00:00 - 18.04.2018 01:00,""0"",""0"",""280"",""280"""
"18.04.2018 01:00 - 18.04.2018 02:00,""0"",""0"",""205"",""205"""
"18.04.2018 02:00 - 18.04.2018 03:00,""0"",""0"",""130"",""130"""
"18.04.2018 03:00 - 18.04.2018 04:00,""0"",""0"",""149"",""149"""
"18.04.2018 04:00 - 18.04.2018 05:00,""0"",""0"",""255"",""255"""
"18.04.2018 05:00 - 18.04.2018 06:00,""0"",""0"",""280"",""280"""
"18.04.2018 06:00 - 18.04.2018 07:00,""36"",""186"",""0"",""0"""
"18.04.2018 07:00 - 18.04.2018 08:00,""140"",""224"",""0"",""0"""
"18.04.2018 08:00 - 18.04.2018 09:00,""0"",""0"",""0"",""0"""
"18.04.2018 09:00 - 18.04.2018 10:00,""0"",""0"",""0"",""0"""
"18.04.2018 10:00 - 18.04.2018 11:00,""0"",""0"",""0"",""0"""
"18.04.2018 11:00 - 18.04.2018 12:00,""0"",""0"",""270"",""270"""
"18.04.2018 12:00 - 18.04.2018 13:00,""0"",""0"",""300"",""300"""
"18.04.2018 13:00 - 18.04.2018 14:00,""0"",""0"",""250"",""250"""
"18.04.2018 14:00 - 18.04.2018 15:00,""0"",""0"",""265"",""265"""
"18.04.2018 15:00 - 18.04.2018 16:00,""0"",""0"",""245"",""245"""
"18.04.2018 16:00 - 18.04.2018 17:00,""0"",""0"",""310"",""510"""
"18.04.2018 17:00 - 18.04.2018 18:00,""0"",""0"",""370"",""570"""
"18.04.2018 18:00 - 18.04.2018 19:00,""0"",""200"",""115"",""315"""
"18.04.2018 19:00 - 18.04.2018 20:00,""0"",""0"",""3"",""3"""
"18.04.2018 20:00 - 18.04.2018 21:00,""0"",""80"",""305"",""305"""
"18.04.2018 21:00 - 18.04.2018 22:00,""0"",""86"",""190"",""190"""
"18.04.2018 22:00 - 18.04.2018 23:00,""276"",""525"",""33"",""33"""
"18.04.2018 23:00 - 19.04.2018 00:00,""0"",""198"",""355"",""553"""
"19.04.2018 00:00 - 19.04.2018 01:00,""0"",""0"",""117"",""117"""
"19.04.2018 01:00 - 19.04.2018 02:00,""0"",""0"",""0"",""0"""
"19.04.2018 02:00 - 19.04.2018 03:00,""0"",""0"",""0"",""0"""
"19.04.2018 03:00 - 19.04.2018 04:00,""0"",""0"",""0"",""0"""
"19.04.2018 04:00 - 19.04.2018 05:00,""0"",""0"",""108"",""108"""
"19.04.2018 05:00 - 19.04.2018 06:00,""0"",""0"",""235"",""235"""
"19.04.2018 06:00 - 19.04.2018 07:00,""0"",""0"",""290"",""290"""
"19.04.2018 07:00 - 19.04.2018 08:00,""0"",""0"",""370"",""370"""
"19.04.2018 08:00 - 19.04.2018 09:00,""0"",""0"",""315"",""315"""
"19.04.2018 09:00 - 19.04.2018 10:00,""0"",""0"",""300"",""300"""
"19.04.2018 10:00 - 19.04.2018 11:00,""0"",""0"",""285"",""285"""
"19.04.2018 11:00 - 19.04.2018 12:00,""0"",""0"",""255"",""355"""
"19.04.2018 12:00 - 19.04.2018 13:00,""0"",""0"",""270"",""270"""
"19.04.2018 13:00 - 19.04.2018 14:00,""0"",""0"",""250"",""250"""
"19.04.2018 14:00 - 19.04.2018 15:00,""0"",""0"",""255"",""255"""
"19.04.2018 15:00 - 19.04.2018 16:00,""0"",""0"",""265"",""265"""
"19.04.2018 16:00 - 19.04.2018 17:00,""0"",""0"",""240"",""340"""
"19.04.2018 17:00 - 19.04.2018 18:00,""0"",""0"",""240"",""340"""
"19.04.2018 18:00 - 19.04.2018 19:00,""0"",""100"",""215"",""315"""
"19.04.2018 19:00 - 19.04.2018 20:00,""0"",""33"",""250"",""350"""
"19.04.2018 20:00 - 19.04.2018 21:00,""0"",""0"",""255"",""455"""
"19.04.2018 21:00 - 19.04.2018 22:00,""0"",""156"",""245"",""445"""
"19.04.2018 22:00 - 19.04.2018 23:00,""0"",""0"",""285"",""385"""
"19.04.2018 23:00 - 20.04.2018 00:00,""0"",""0"",""310"",""510"""
"20.04.2018 00:00 - 20.04.2018 01:00,""0"",""0"",""330"",""330"""
"20.04.2018 01:00 - 20.04.2018 02:00,""0"",""0"",""330"",""330"""
"20.04.2018 02:00 - 20.04.2018 03:00,""0"",""0"",""277"",""277"""
"20.04.2018 03:00 - 20.04.2018 04:00,""0"",""0"",""267"",""267"""
"20.04.2018 04:00 - 20.04.2018 05:00,""0"",""0"",""280"",""280"""
"20.04.2018 05:00 - 20.04.2018 06:00,""0"",""0"",""370"",""370"""
"20.04.2018 06:00 - 20.04.2018 07:00,""0"",""0"",""275"",""275"""
"20.04.2018 07:00 - 20.04.2018 08:00,""0"",""0"",""285"",""285"""
"20.04.2018 08:00 - 20.04.2018 09:00,""0"",""0"",""325"",""325"""
"20.04.2018 09:00 - 20.04.2018 10:00,""0"",""20"",""450"",""450"""
"20.04.2018 10:00 - 20.04.2018 11:00,""0"",""0"",""450"",""450"""
"20.04.2018 11:00 - 20.04.2018 12:00,""0"",""0"",""450"",""450"""
"20.04.2018 12:00 - 20.04.2018 13:00,""0"",""0"",""420"",""520"""
"20.04.2018 13:00 - 20.04.2018 14:00,""0"",""0"",""450"",""550"""
"20.04.2018 14:00 - 20.04.2018 15:00,""0"",""0"",""305"",""405"""
"20.04.2018 15:00 - 20.04.2018 16:00,""0"",""0"",""325"",""425"""
"20.04.2018 16:00 - 20.04.2018 17:00,""0"",""0"",""310"",""410"""
"20.04.2018 17:00 - 20.04.2018 18:00,""0"",""0"",""430"",""530"""
"20.04.2018 18:00 - 20.04.2018 19:00,""0"",""0"",""420"",""420"""
"20.04.2018 19:00 - 20.04.2018 20:00,""0"",""0"",""355"",""355"""
"20.04.2018 20:00 - 20.04.2018 21:00,""0"",""370"",""220"",""220"""
"20.04.2018 21:00 - 20.04.2018 22:00,""0"",""735"",""180"",""280"""
"20.04.2018 22:00 - 20.04.2018 23:00,""0"",""244"",""60"",""60"""
"20.04.2018 23:00 - 21.04.2018 00:00,""0"",""134"",""95"",""195"""
"21.04.2018 00:00 - 21.04.2018 01:00,""0"",""0"",""45"",""45"""
"21.04.2018 01:00 - 21.04.2018 02:00,""0"",""0"",""0"",""0"""
"21.04.2018 02:00 - 21.04.2018 03:00,""0"",""0"",""0"",""0"""
"21.04.2018 03:00 - 21.04.2018 04:00,""0"",""0"",""0"",""0"""
"21.04.2018 04:00 - 21.04.2018 05:00,""0"",""0"",""0"",""0"""
"21.04.2018 05:00 - 21.04.2018 06:00,""0"",""0"",""0"",""0"""
"21.04.2018 06:00 - 21.04.2018 07:00,""0"",""0"",""125"",""125"""
"21.04.2018 07:00 - 21.04.2018 08:00,""0"",""0"",""255"",""255"""
"21.04.2018 08:00 - 21.04.2018 09:00,""0"",""0"",""270"",""320"""
"21.04.2018 09:00 - 21.04.2018 10:00,""0"",""0"",""315"",""315"""
"21.04.2018 10:00 - 21.04.2018 11:00,""0"",""0"",""335"",""435"""
"21.04.2018 11:00 - 21.04.2018 12:00,""0"",""0"",""315"",""415"""
"21.04.2018 12:00 - 21.04.2018 13:00,""0"",""0"",""300"",""300"""
"21.04.2018 13:00 - 21.04.2018 14:00,""0"",""0"",""340"",""340"""
"21.04.2018 14:00 - 21.04.2018 15:00,""0"",""0"",""350"",""350"""
"21.04.2018 15:00 - 21.04.2018 16:00,""0"",""0"",""365"",""365"""
"21.04.2018 16:00 - 21.04.2018 17:00,""0"",""0"",""279"",""279"""
"21.04.2018 17:00 - 21.04.2018 18:00,""0"",""0"",""296"",""296"""
"21.04.2018 18:00 - 21.04.2018 19:00,""0"",""0"",""75"",""75"""
"21.04.2018 19:00 - 21.04.2018 20:00,""350"",""350"",""0"",""0"""
"21.04.2018 20:00 - 21.04.2018 21:00,""0"",""0"",""200"",""200"""
"21.04.2018 21:00 - 21.04.2018 22:00,""0"",""0"",""10"",""10"""
"21.04.2018 22:00 - 21.04.2018 23:00,""99"",""99"",""300"",""300"""
"21.04.2018 23:00 - 22.04.2018 00:00,""0"",""0"",""174"",""174"""
"22.04.2018 00:00 - 22.04.2018 01:00,""0"",""0"",""183"",""183"""
"22.04.2018 01:00 - 22.04.2018 02:00,""0"",""0"",""51"",""51"""
"22.04.2018 02:00 - 22.04.2018 03:00,""0"",""0"",""0"",""0"""
"22.04.2018 03:00 - 22.04.2018 04:00,""0"",""0"",""0"",""0"""
